transaction_id,date,product_id,product_name,category,quantity,unit_price,total_amount,currency
TX-LIM-20260714-001,2026-07-14,PROD-008,Teclado Mecánico,Electrónica,1,85.58,85.58,PEN
TX-LIM-20260714-002,2026-07-14,PROD-008,Teclado Mecánico,Electrónica,3,289.1,867.3,PEN
TX-LIM-20260714-003,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,4,260.57,1042.28,PEN
TX-LIM-20260714-004,2026-07-14,PROD-001,Smartphone Alpha,Electrónica,3,44.43,133.29,PEN
TX-LIM-20260714-005,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,2,58.24,116.48,PEN
TX-LIM-20260714-006,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,1,225.69,225.69,PEN
TX-LIM-20260714-007,2026-07-14,PROD-002,Audífonos Bluetooth,Electrónica,1,40.97,40.97,PEN
TX-LIM-20260714-008,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,2,127.31,254.62,PEN
TX-LIM-20260714-009,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,4,230.39,921.56,PEN
TX-LIM-20260714-010,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,1,146.37,146.37,PEN
TX-LIM-20260714-011,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,1,258.17,258.17,PEN
TX-LIM-20260714-012,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,3,104.5,313.5,PEN
TX-LIM-20260714-013,2026-07-14,PROD-009,Silla Ergonómica,Hogar,3,161.09,483.27,PEN
TX-LIM-20260714-014,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,4,55.6,222.4,PEN
TX-LIM-20260714-015,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,1,123.74,123.74,PEN
TX-LIM-20260714-016,2026-07-14,PROD-004,Cafetera Expreso,Hogar,2,65.98,131.96,PEN
TX-LIM-20260714-017,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,1,198.15,198.15,PEN
TX-LIM-20260714-018,2026-07-14,PROD-004,Cafetera Expreso,Hogar,1,45.4,45.4,PEN
TX-LIM-20260714-019,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,2,310.55,621.1,PEN
TX-LIM-20260714-020,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,1,117.56,117.56,PEN
TX-LIM-20260714-021,2026-07-14,PROD-005,Mochila Impermeable,Accesorios,2,170.66,341.32,PEN
TX-LIM-20260714-022,2026-07-14,PROD-004,Cafetera Expreso,Hogar,2,311.48,622.96,PEN
TX-LIM-20260714-023,2026-07-14,PROD-010,Termo Acero Inoxidable,Accesorios,3,315.71,947.13,PEN
TX-LIM-20260714-024,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,2,56.32,112.64,PEN
TX-LIM-20260714-025,2026-07-14,PROD-009,Silla Ergonómica,Hogar,3,160.95,482.85,PEN
TX-LIM-20260714-026,2026-07-14,PROD-004,Cafetera Expreso,Hogar,1,304.04,304.04,PEN
TX-LIM-20260714-027,2026-07-14,PROD-007,Monitor Gamer 24,Electrónica,2,188.55,377.1,PEN
TX-LIM-20260714-028,2026-07-14,PROD-009,Silla Ergonómica,Hogar,2,93.3,186.6,PEN
TX-LIM-20260714-029,2026-07-14,PROD-003,Zapatillas Deportivas,Calzado,2,131.41,262.82,PEN
TX-LIM-20260714-030,2026-07-14,PROD-006,Polera Algodón,Vestuario,4,191.2,764.8,PEN
